"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "XML", "Markdown", "TypeScript JSX", "Prisma", "CSS", "comment", "blank", "total"
"c:\Users\hites\Desktop\Projects\automation_builder\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\hites\Desktop\Projects\automation_builder\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\hites\Desktop\Projects\automation_builder\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\hites\Desktop\Projects\automation_builder\next.config.mjs", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\hites\Desktop\Projects\automation_builder\package-lock.json", "JSON", 0, 7700, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7701
"c:\Users\hites\Desktop\Projects\automation_builder\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\hites\Desktop\Projects\automation_builder\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\hites\Desktop\Projects\automation_builder\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 105, 0, 2, 17, 124
"c:\Users\hites\Desktop\Projects\automation_builder\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hites\Desktop\Projects\automation_builder\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\discord-connection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 7, 9, 123
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\get-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\notion-connection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 2, 6, 105
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\slack-connection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 1, 16, 130
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_components\connection-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 4, 72
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 3, 13, 132
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\_components\profile-picture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\_components\uploadcare-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 11, 58
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_actions\workflow-connections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 2, 20, 181
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\workflow-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 7, 35
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\_components\workflow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 1, 5, 80
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_actions\workflow-connections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\action-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 50, 17, 166
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\content-based-on-title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 0, 4, 12, 140
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\custom-handle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 7, 41
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-card-icon-helper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-card-single.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 4, 78
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 6, 112
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\editor-canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 229, 0, 0, 9, 24, 262
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\flow-instance.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 11, 73
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-drive-files.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\google-file-details.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-connection-accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 5, 81
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\_components\render-output-accordian.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 4, 33
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\[editorid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 4, 11
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\workflows\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\api\clerk-webhook\route.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 5, 76
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"c:\Users\hites\Desktop\Projects\automation_builder\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 6, 193
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\profile-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 7, 107
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\forms\workflow-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 9, 7, 116
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\3d-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 12, 151
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\connect-parallax.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 5, 159
"c:\Users\hites\Desktop\Projects\automation_builder\src\components\global\container-scroll-animation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 7, 103
