Date : 2024-04-04 20:36:54
Directory : c:\Users\hites\Desktop\Projects\automation_builder
Total : 102 files,  14892 codes, 180 comments, 771 blanks, all 15843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      7,782 |          0 |          2 |      7,784 |
| TypeScript JSX     |         81 |      6,104 |        159 |        645 |      6,908 |
| TypeScript         |          9 |        754 |         18 |         84 |        856 |
| Prisma             |          1 |        105 |          2 |         17 |        124 |
| CSS                |          1 |         71 |          0 |          5 |         76 |
| JSON with Comments |          2 |         30 |          0 |          2 |         32 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         21 |          1 |          2 |         24 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        102 |     14,892 |        180 |        771 |     15,843 |
| . (Files)                                                                                                                                            |          9 |      7,990 |         10 |         23 |      8,023 |
| prisma                                                                                                                                               |          1 |        105 |          2 |         17 |        124 |
| public                                                                                                                                               |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                                                                  |         90 |      6,795 |        168 |        731 |      7,694 |
| src (Files)                                                                                                                                          |          2 |         40 |          6 |          7 |         53 |
| src\app                                                                                                                                              |         39 |      2,404 |         85 |        277 |      2,766 |
| src\app (Files)                                                                                                                                      |          3 |        297 |          0 |         15 |        312 |
| src\app\(auth)                                                                                                                                       |          3 |         18 |          0 |          5 |         23 |
| src\app\(auth) (Files)                                                                                                                               |          1 |         10 |          0 |          3 |         13 |
| src\app\(auth)\sign-in                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| src\app\(auth)\sign-in\[[...sign-in]]                                                                                                                |          1 |          4 |          0 |          1 |          5 |
| src\app\(auth)\sign-up                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| src\app\(auth)\sign-up\[[...sign-up]]                                                                                                                |          1 |          4 |          0 |          1 |          5 |
| src\app\(main)                                                                                                                                       |         32 |      2,057 |         85 |        248 |      2,390 |
| src\app\(main) (Files)                                                                                                                               |          1 |         14 |          0 |          3 |         17 |
| src\app\(main)\(pages)                                                                                                                               |         31 |      2,043 |         85 |        245 |      2,373 |
| src\app\(main)\(pages) (Files)                                                                                                                       |          1 |         10 |          0 |          3 |         13 |
| src\app\(main)\(pages)\connections                                                                                                                   |          6 |        514 |         13 |         52 |        579 |
| src\app\(main)\(pages)\connections (Files)                                                                                                           |          1 |        116 |          3 |         13 |        132 |
| src\app\(main)\(pages)\connections\_actions                                                                                                          |          4 |        330 |         10 |         35 |        375 |
| src\app\(main)\(pages)\connections\_components                                                                                                       |          1 |         68 |          0 |          4 |         72 |
| src\app\(main)\(pages)\dashboard                                                                                                                     |          1 |         11 |          0 |          2 |         13 |
| src\app\(main)\(pages)\settings                                                                                                                      |          3 |        163 |          1 |         26 |        190 |
| src\app\(main)\(pages)\settings (Files)                                                                                                              |          1 |         73 |          0 |          9 |         82 |
| src\app\(main)\(pages)\settings\_components                                                                                                          |          2 |         90 |          1 |         17 |        108 |
| src\app\(main)\(pages)\workflows                                                                                                                     |         20 |      1,345 |         71 |        162 |      1,578 |
| src\app\(main)\(pages)\workflows (Files)                                                                                                             |          1 |         16 |          0 |          4 |         20 |
| src\app\(main)\(pages)\workflows\_actions                                                                                                            |          1 |        159 |          2 |         20 |        181 |
| src\app\(main)\(pages)\workflows\_components                                                                                                         |          3 |        119 |          2 |         16 |        137 |
| src\app\(main)\(pages)\workflows\editor                                                                                                              |         15 |      1,051 |         67 |        122 |      1,240 |
| src\app\(main)\(pages)\workflows\editor (Files)                                                                                                      |          1 |          6 |          1 |          4 |         11 |
| src\app\(main)\(pages)\workflows\editor\[editorid]                                                                                                   |         14 |      1,045 |         66 |        118 |      1,229 |
| src\app\(main)\(pages)\workflows\editor\[editorid] (Files)                                                                                           |          1 |         17 |          0 |          4 |         21 |
| src\app\(main)\(pages)\workflows\editor\[editorid]\_actions                                                                                          |          1 |         33 |          0 |          6 |         39 |
| src\app\(main)\(pages)\workflows\editor\[editorid]\_components                                                                                       |         12 |        995 |         66 |        108 |      1,169 |
| src\app\api                                                                                                                                          |          1 |         32 |          0 |          9 |         41 |
| src\app\api\clerk-webhook                                                                                                                            |          1 |         32 |          0 |          9 |         41 |
| src\components                                                                                                                                       |         40 |      3,614 |         75 |        363 |      4,052 |
| src\components\forms                                                                                                                                 |          2 |        200 |          9 |         14 |        223 |
| src\components\global                                                                                                                                |          9 |      1,172 |          1 |         53 |      1,226 |
| src\components\icons                                                                                                                                 |          7 |        277 |          0 |         27 |        304 |
| src\components\infobar                                                                                                                               |          1 |         49 |         24 |          7 |         80 |
| src\components\sidebar                                                                                                                               |          1 |         97 |          0 |          4 |        101 |
| src\components\ui                                                                                                                                    |         20 |      1,819 |         41 |        258 |      2,118 |
| src\lib                                                                                                                                              |          5 |        413 |          2 |         37 |        452 |
| src\providers                                                                                                                                        |          4 |        324 |          0 |         47 |        371 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\hites\Desktop\Projects\automation_builder\.eslintrc.json                                                                                    | JSON with Comments |          3 |          0 |          1 |          4 |
| c:\Users\hites\Desktop\Projects\automation_builder\README.md                                                                                         | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\hites\Desktop\Projects\automation_builder\components.json                                                                                   | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\hites\Desktop\Projects\automation_builder\next.config.mjs                                                                                   | JavaScript         |         15 |          1 |          1 |         17 |
| c:\Users\hites\Desktop\Projects\automation_builder\package-lock.json                                                                                 | JSON               |      7,700 |          0 |          1 |      7,701 |
| c:\Users\hites\Desktop\Projects\automation_builder\package.json                                                                                      | JSON               |         65 |          0 |          1 |         66 |
| c:\Users\hites\Desktop\Projects\automation_builder\postcss.config.js                                                                                 | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\hites\Desktop\Projects\automation_builder\prisma\schema.prisma                                                                              | Prisma             |        105 |          2 |         17 |        124 |
| c:\Users\hites\Desktop\Projects\automation_builder\public\next.svg                                                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\hites\Desktop\Projects\automation_builder\public\vercel.svg                                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\layout.tsx                                                                         | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\sign-in\[[...sign-in]]\page.tsx                                                    | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(auth)\sign-up\[[...sign-up]]\page.tsx                                                    | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\discord-connection.tsx                                | TypeScript JSX     |        107 |          7 |          9 |        123 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\get-user.tsx                                          | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\notion-connection.tsx                                 | TypeScript JSX     |         97 |          2 |          6 |        105 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_actions\slack-connection.tsx                                  | TypeScript JSX     |        113 |          1 |         16 |        130 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\_components\connection-card.tsx                                | TypeScript JSX     |         68 |          0 |          4 |         72 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\connections\page.tsx                                                       | TypeScript JSX     |        116 |          3 |         13 |        132 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\dashboard\page.tsx                                                         | TypeScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\hites\Desktop\Projects\automation_builder\src\app\(main)\(pages)\layout.tsx                                                                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
